Comparison,ID,GeneID
MaintenancevsSaline,GO:0048709,Cntn2
MaintenancevsSaline,GO:0048709,Aspa
MaintenancevsSaline,GO:0048709,Omg
MaintenancevsSaline,GO:0048709,Cnp
MaintenancevsSaline,GO:0048709,Tppp
MaintenancevsSaline,GO:0048709,Enpp2
MaintenancevsSaline,GO:0048709,Sox10
MaintenancevsSaline,GO:0048709,Tnfrsf21
MaintenancevsSaline,GO:0048709,Myrf
MaintenancevsSaline,GO:0048709,Il33
MaintenancevsSaline,GO:0048709,Opalin
MaintenancevsSaline,GO:0048709,Abca2
MaintenancevsSaline,GO:0048709,Mal
MaintenancevsSaline,GO:0048709,Tspan2
MaintenancevsSaline,GO:0048709,Hes5
MaintenancevsSaline,GO:0048709,Mag
MaintenancevsSaline,GO:0048709,Fa2h
MaintenancevsSaline,GO:0048709,Plp1
MaintenancevsSaline,GO:0006397,Ptbp1
MaintenancevsSaline,GO:0006397,Cirbp
MaintenancevsSaline,GO:0006397,Fxr2
MaintenancevsSaline,GO:0006397,Prpf39
MaintenancevsSaline,GO:0006397,Zfp36l1
MaintenancevsSaline,GO:0006397,Srsf5
MaintenancevsSaline,GO:0006397,Hnrnpk
MaintenancevsSaline,GO:0006397,Ccnb1
MaintenancevsSaline,GO:0006397,Acin1
MaintenancevsSaline,GO:0006397,Tra2b
MaintenancevsSaline,GO:0006397,Luc7l
MaintenancevsSaline,GO:0006397,Srsf3
MaintenancevsSaline,GO:0006397,U2af1
MaintenancevsSaline,GO:0006397,Akap8l
MaintenancevsSaline,GO:0006397,Hnrnpm
MaintenancevsSaline,GO:0006397,Cdc5l
MaintenancevsSaline,GO:0006397,Srsf7
MaintenancevsSaline,GO:0006397,Thoc1
MaintenancevsSaline,GO:0006397,Cir1
MaintenancevsSaline,GO:0006397,Mfap1a
MaintenancevsSaline,GO:0006397,Rbm39
MaintenancevsSaline,GO:0006397,Fxr1
MaintenancevsSaline,GO:0006397,Prpf38b
MaintenancevsSaline,GO:0006397,Srsf10
MaintenancevsSaline,GO:0006397,Srpk2
MaintenancevsSaline,GO:0006397,Fip1l1
MaintenancevsSaline,GO:0006397,Tra2a
MaintenancevsSaline,GO:0006397,Tia1
MaintenancevsSaline,GO:0006397,Aplp1
MaintenancevsSaline,GO:0006397,Hspa8
MaintenancevsSaline,GO:0006397,Rbm5
MaintenancevsSaline,GO:0006397,Rbm3
MaintenancevsSaline,GO:0006457,Hspd1
MaintenancevsSaline,GO:0006457,Cct4
MaintenancevsSaline,GO:0006457,Ahsa2
MaintenancevsSaline,GO:0006457,Ahsa1
MaintenancevsSaline,GO:0006457,Cct5
MaintenancevsSaline,GO:0006457,Cct8
MaintenancevsSaline,GO:0006457,Tcp1
MaintenancevsSaline,GO:0006457,Hsp90ab1
MaintenancevsSaline,GO:0006457,Cdc37l1
MaintenancevsSaline,GO:0006457,Hspa5
MaintenancevsSaline,GO:0006457,Ppig
MaintenancevsSaline,GO:0006457,Ppid
MaintenancevsSaline,GO:0006457,Dnaja1
MaintenancevsSaline,GO:0006457,Hsph1
MaintenancevsSaline,GO:0006457,Cct7
MaintenancevsSaline,GO:0006457,Fkbp4
MaintenancevsSaline,GO:0006457,Chordc1
MaintenancevsSaline,GO:0006457,Hspa8
MaintenancevsSaline,GO:0006457,Cryab
MaintenancevsSaline,GO:0010001,Cntn2
MaintenancevsSaline,GO:0010001,Aspa
MaintenancevsSaline,GO:0010001,Omg
MaintenancevsSaline,GO:0010001,Cnp
MaintenancevsSaline,GO:0010001,Tppp
MaintenancevsSaline,GO:0010001,Enpp2
MaintenancevsSaline,GO:0010001,Sox10
MaintenancevsSaline,GO:0010001,Tnfrsf21
MaintenancevsSaline,GO:0010001,Myrf
MaintenancevsSaline,GO:0010001,Il33
MaintenancevsSaline,GO:0010001,Opalin
MaintenancevsSaline,GO:0010001,Abca2
MaintenancevsSaline,GO:0010001,Mal
MaintenancevsSaline,GO:0010001,Phgdh
MaintenancevsSaline,GO:0010001,Tspan2
MaintenancevsSaline,GO:0010001,Hes5
MaintenancevsSaline,GO:0010001,Mag
MaintenancevsSaline,GO:0010001,Fa2h
MaintenancevsSaline,GO:0010001,Cspg5
MaintenancevsSaline,GO:0010001,Plp1
MaintenancevsSaline,GO:0051276,Rrs1
MaintenancevsSaline,GO:0051276,Tpr
MaintenancevsSaline,GO:0051276,Morc2a
MaintenancevsSaline,GO:0051276,Cct4
MaintenancevsSaline,GO:0051276,Ube2b
MaintenancevsSaline,GO:0051276,Ctc1
MaintenancevsSaline,GO:0051276,Zfp207
MaintenancevsSaline,GO:0051276,Top2a
MaintenancevsSaline,GO:0051276,Pum2
MaintenancevsSaline,GO:0051276,Ccnb1
MaintenancevsSaline,GO:0051276,Acin1
MaintenancevsSaline,GO:0051276,Nipbl
MaintenancevsSaline,GO:0051276,Cct5
MaintenancevsSaline,GO:0051276,Chmp2b
MaintenancevsSaline,GO:0051276,Cct8
MaintenancevsSaline,GO:0051276,Tcp1
MaintenancevsSaline,GO:0051276,Akap8l
MaintenancevsSaline,GO:0051276,Hsp90ab1
MaintenancevsSaline,GO:0051276,Esco1
MaintenancevsSaline,GO:0051276,Eml3
MaintenancevsSaline,GO:0051276,Smc3
MaintenancevsSaline,GO:0051276,Top1
MaintenancevsSaline,GO:0051276,Fbxw7
MaintenancevsSaline,GO:0051276,Cct7
MaintenancevsSaline,GO:0051276,Atf7ip
MaintenancevsSaline,GO:0051276,Naa10
MaintenancevsSaline,GO:0051276,Dkc1
MaintenancevsSaline,GO:0051276,Smc1a
MaintenancevsSaline,GO:1902904,Tmeff2
