Category	ID	Term	Genes	adj_pval
BP	GO:0002764	immune response-regulating signaling pathway	Hspd1,Lilrb4a,Lcp2,Havcr2,Gps2,Sarm1,Lgals9,Nr1d1,Cd300a,Sec14l1,Pum2,Psen1,Cd180,Fyb,Tnfrsf21,Nfkbil1,Cd14,Slc15a3,Lpxn,Blnk,Dgkz,Rbck1,Tifa,Sh2b2,Zc3hav1,Clec4n,C5ar1,Cd33,Bax,Cd276,Tlr13,Tlr7	8.023874107913E-06
BP	GO:0006457	protein folding	Hspd1,Cct4,Ahsa2,Ahsa1,Tbce,Cct5,Ppil2,Cct8,Tcp1,Fkbp5,Hsp90ab1,Hspa5,Ppig,Dnajc10,Cct3,Dnajb6,Cct7,Fkbp4,Chordc1,Hspa8	9.15628150027935E-06
BP	GO:0000375	RNA splicing, via transesterification reactions	Ptbp1,Cirbp,Zc3h10,Nsrp1,Srsf5,Ddx41,Hnrnpk,Acin1,Srsf3,U2af1,Hnrnpm,Cdc5l,Usp49,Rbm17,Fxr1,Mbnl1,Larp7,Sf3a3,Thrap3,Syf2,Srsf10,Srpk2,Hspa8,Rbm5,Srpk3	1.39271144070871E-05
BP	GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	Ptbp1,Cirbp,Zc3h10,Nsrp1,Srsf5,Ddx41,Hnrnpk,Acin1,Srsf3,U2af1,Hnrnpm,Cdc5l,Usp49,Rbm17,Fxr1,Mbnl1,Larp7,Sf3a3,Thrap3,Syf2,Srsf10,Srpk2,Hspa8,Rbm5,Srpk3	1.39271144070871E-05
BP	GO:0000398	mRNA splicing, via spliceosome	Ptbp1,Cirbp,Zc3h10,Nsrp1,Srsf5,Ddx41,Hnrnpk,Acin1,Srsf3,U2af1,Hnrnpm,Cdc5l,Usp49,Rbm17,Fxr1,Mbnl1,Larp7,Sf3a3,Thrap3,Syf2,Srsf10,Srpk2,Hspa8,Rbm5,Srpk3	1.39271144070871E-05
BP	GO:0006986	response to unfolded protein	Hspd1,Rhbdd1,Ubxn4,Ddit3,Xbp1,Dnajb9,Hsf1,Hspa5,Dnajc10,Bax,Ppp1r15a,Ccnd1,Herpud1,Abcb10,Hspa8,Manf	1.41754947548755E-05
BP	GO:0061077	chaperone-mediated protein folding	Cct4,Cct5,Cct8,Tcp1,Fkbp5,Hspa5,Cct3,Dnajb6,Cct7,Fkbp4,Chordc1,Hspa8	2.05619435769068E-05
BP	GO:1904851	positive regulation of establishment of protein localization to telomere	Cct4,Cct5,Cct8,Tcp1,Cct3,Cct7	2.05619435769068E-05
BP	GO:0072594	establishment of protein localization to organelle	Hspd1,Tpr,Pex3,Pttg1ip,Ap3d1,Ddit3,Xbp1,Cct4,Rpain,Akap1,Srp68,Psen1,Ipo4,Nipbl,Cct5,Cct8,Tcp1,Hsp90ab1,Pik3c3,Nolc1,Hspa5,Pkig,Sec62,Fbxw7,Cct3,Cct7,Nup62,Bax,Vps37a,Herpud1,Hspa8	2.56782478292332E-05
BP	GO:0051054	positive regulation of DNA metabolic process	Cacybp,Eya4,Pkib,Cct4,Ube2b,Ctc1,Smarce1,Pnp,Cct5,Myc,Hsf1,Cct8,Tcp1,Hsp90ab1,Msh2,Cct3,Pogz,Nbn,Anxa3,Trrap,Cct7,Tigar,Ercc1,Bax,Fus,Brd7	3.22082377035944E-05
BP	GO:0070203	regulation of establishment of protein localization to telomere	Cct4,Cct5,Cct8,Tcp1,Cct3,Cct7	3.22082377035944E-05
