Category	ID	Term	Genes	adj_pval
BP	GO:0048709	oligodendrocyte differentiation	Cntn2,Kcnj10,Aspa,Omg,Cnp,Tppp,Clu,Enpp2,Sox10,Cntn1,Olig1,Sox8,Il33,Opalin,Mal,Tspan2,Hes5,Mag,Fa2h,Plp1	1.42790271103467E-15
BP	GO:0010001	glial cell differentiation	Cntn2,Kcnj10,Ifngr1,Aspa,Omg,Nr1d1,Cnp,Tppp,Clu,Enpp2,Sox10,Cntn1,Nrros,Olig1,Sox8,Il33,Opalin,Mal,Tspan2,Plpp3,Hes5,Mag,Fa2h,Cspg5,Plp1	2.44104298580787E-14
BP	GO:0021782	glial cell development	Cntn2,Kcnj10,Ifngr1,Omg,Nr1d1,Tppp,Clu,Sox10,Cntn1,Nrros,Olig1,Mal,Tspan2,Hes5,Mag,Fa2h,Cspg5,Plp1	2.78515330661672E-13
BP	GO:0014003	oligodendrocyte development	Cntn2,Kcnj10,Omg,Tppp,Clu,Sox10,Cntn1,Olig1,Mal,Hes5,Mag,Fa2h,Plp1	8.65777870228757E-13
BP	GO:0022010	central nervous system myelination	Cntn2,Kcnj10,Omg,Clu,Sox10,Cntn1,Mal,Hes5,Mag,Fa2h,Plp1	1.28880843789098E-12
BP	GO:0032291	axon ensheathment in central nervous system	Cntn2,Kcnj10,Omg,Clu,Sox10,Cntn1,Mal,Hes5,Mag,Fa2h,Plp1	1.28880843789098E-12
BP	GO:0042063	gliogenesis	Cntn2,Kcnj10,Ifngr1,Aspa,Omg,Nr1d1,Cnp,Tppp,Clu,Enpp2,Myc,Sox10,Cntn1,Nrros,Olig1,Sox8,Il33,Opalin,Mal,Tspan2,Plpp3,Hes5,Mag,Fa2h,Cspg5,Plp1	1.90203213736915E-12
BP	GO:0007272	ensheathment of neurons	Cntn2,Kcnj10,Omg,Tppp,Clu,Sox10,Cntn1,Mal,Cldn11,Tspan2,Ugt8a,Hes5,Mag,Pllp,Fa2h,Plp1	9.58949569093366E-09
BP	GO:0008366	axon ensheathment	Cntn2,Kcnj10,Omg,Tppp,Clu,Sox10,Cntn1,Mal,Cldn11,Tspan2,Ugt8a,Hes5,Mag,Pllp,Fa2h,Plp1	9.58949569093366E-09
BP	GO:0042552	myelination	Cntn2,Kcnj10,Omg,Tppp,Clu,Sox10,Cntn1,Mal,Tspan2,Ugt8a,Hes5,Mag,Pllp,Fa2h,Plp1	7.68264888723188E-08
BP	GO:0050808	synapse organization	Fzd5,Cntn2,Ank3,Nrxn1,Prnp,Nlgn1,Pfn2,Glrb,Bcan,Ptprd,Ptprf,Ctnna2,Lrrn1,Slc6a1,Eef2k,Sez6l2,Fgfr2,Gpm6a,Rab39b,Pak3	4.05057744161205E-05
BP	GO:0048708	astrocyte differentiation	Cntn2,Ifngr1,Nr1d1,Sox8,Tspan2,Plpp3,Hes5,Mag,Plp1	5.34234188731136E-05
BP	GO:0051962	positive regulation of nervous system development	Nap1l1,Aspa,Enpp2,Myc,Sox10,Sox8,Nrxn1,Il33,Nlgn1,Ptprd,Ptprf,Gper1,Lrrn1,Mag,Eef2k,Pak3	0.000228567023664862
BP	GO:0097090	presynaptic membrane organization	Cntn2,Nrxn1,Nlgn1,Ptprd	0.000589457735181164
BP	GO:0099612	protein localization to axon	Cntn2,Ank3,Mal,Ugt8a	0.000589457735181164
BP	GO:0031644	regulation of nervous system process	Adora1,Kcnj10,Tppp,Ednrb,Sox10,Nrxn1,Il33,Nlgn1,Grm3,Mag,Ncam1	0.000589457735181164
BP	GO:0032228	regulation of synaptic transmission, GABAergic	Adora1,Nrxn1,Car2,Nlgn1,Cnr1,Slc6a1	0.000746057028624427
BP	GO:0050767	regulation of neurogenesis	Nap1l1,Efnb3,Aspa,Nr1d1,Enpp2,Myc,Sox10,Sox8,Ctnna1,Il33,Ptprd,Ptprf,Hes5,Gper1,Mag,Eef2k,Pak3	0.000797842411386361
BP	GO:0045685	regulation of glial cell differentiation	Cntn2,Aspa,Nr1d1,Enpp2,Il33,Opalin,Hes5,Mag	0.000835822984822222
BP	GO:0006457	protein folding	Clu,Ppil2,Fkbp5,Hspa1a,Cdc37l1,Ppid,Dnaja1,Hsph1,Dnajb1,Cryab	0.00100738011700037
BP	GO:0010720	positive regulation of cell development	Nap1l1,Aspa,Fermt2,Enpp2,Myc,Sox10,Sox8,Il33,Ptprd,Ptprf,Gper1,Mag,Eef2k,Cspg5,Pak3	0.00117168695477236
BP	GO:0014013	regulation of gliogenesis	Aspa,Nr1d1,Enpp2,Myc,Sox10,Sox8,Il33,Hes5,Mag	0.00128680321647327
