Category	ID	Term	Genes	adj_pval
BP	GO:0048709	oligodendrocyte differentiation	Cntn2,Aspa,Omg,Cnp,Tppp,Enpp2,Sox10,Tnfrsf21,Myrf,Il33,Opalin,Abca2,Mal,Tspan2,Hes5,Mag,Fa2h,Plp1	5.32477259912358E-08
BP	GO:0022010	central nervous system myelination	Cntn2,Omg,Sox10,Myrf,Abca2,Mal,Hes5,Mag,Fa2h,Plp1	8.98406987568133E-08
BP	GO:0032291	axon ensheathment in central nervous system	Cntn2,Omg,Sox10,Myrf,Abca2,Mal,Hes5,Mag,Fa2h,Plp1	8.98406987568133E-08
BP	GO:0050684	regulation of mRNA processing	Ptbp1,Cirbp,Fxr2,Zfp36l1,Hnrnpk,Ccnb1,Acin1,Tra2b,Srsf3,Srsf7,Rbm39,Fxr1,Srsf10,Srpk2,Tra2a,Tia1,Hspa8,Rbm5,Rbm3	8.98406987568133E-08
BP	GO:0006397	mRNA processing	Ptbp1,Cirbp,Fxr2,Prpf39,Zfp36l1,Srsf5,Hnrnpk,Ccnb1,Acin1,Tra2b,Luc7l,Srsf3,U2af1,Akap8l,Hnrnpm,Cdc5l,Srsf7,Thoc1,Cir1,Mfap1a,Rbm39,Fxr1,Prpf38b,Srsf10,Srpk2,Fip1l1,Tra2a,Tia1,Aplp1,Hspa8,Rbm5,Rbm3	2.60463239395858E-07
BP	GO:0006457	protein folding	Hspd1,Cct4,Ahsa2,Ahsa1,Cct5,Cct8,Tcp1,Hsp90ab1,Cdc37l1,Hspa5,Ppig,Ppid,Dnaja1,Hsph1,Cct7,Fkbp4,Chordc1,Hspa8,Cryab	2.60463239395858E-07
BP	GO:0048024	regulation of mRNA splicing, via spliceosome	Ptbp1,Cirbp,Fxr2,Hnrnpk,Acin1,Tra2b,Srsf3,Srsf7,Rbm39,Fxr1,Srsf10,Tra2a,Tia1,Hspa8,Rbm5,Rbm3	2.60463239395858E-07
BP	GO:0000375	RNA splicing, via transesterification reactions	Ptbp1,Cirbp,Fxr2,Prpf39,Srsf5,Hnrnpk,Acin1,Tra2b,Luc7l,Srsf3,U2af1,Hnrnpm,Cdc5l,Srsf7,Mfap1a,Rbm39,Fxr1,Srsf10,Srpk2,Tra2a,Tia1,Hspa8,Rbm5,Rbm3	2.60463239395858E-07
BP	GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	Ptbp1,Cirbp,Fxr2,Prpf39,Srsf5,Hnrnpk,Acin1,Tra2b,Luc7l,Srsf3,U2af1,Hnrnpm,Cdc5l,Srsf7,Mfap1a,Rbm39,Fxr1,Srsf10,Srpk2,Tra2a,Tia1,Hspa8,Rbm5,Rbm3	2.60463239395858E-07
BP	GO:0000398	mRNA splicing, via spliceosome	Ptbp1,Cirbp,Fxr2,Prpf39,Srsf5,Hnrnpk,Acin1,Tra2b,Luc7l,Srsf3,U2af1,Hnrnpm,Cdc5l,Srsf7,Mfap1a,Rbm39,Fxr1,Srsf10,Srpk2,Tra2a,Tia1,Hspa8,Rbm5,Rbm3	2.60463239395858E-07
BP	GO:0014003	oligodendrocyte development	Cntn2,Omg,Tppp,Sox10,Myrf,Abca2,Mal,Hes5,Mag,Fa2h,Plp1	5.08396546870688E-07
BP	GO:1903311	regulation of mRNA metabolic process	Ptbp1,Cirbp,Fxr2,Pum2,Zfp36l1,Hnrnpk,Ccnb1,Acin1,Carhsp1,Tra2b,Srsf3,Hnrnpm,Srsf7,Rbm39,Fxr1,Srsf10,Srpk2,Zc3hav1,Tra2a,Tia1,Fus,Hspa8,Rbm5,Rbm3	2.15412768768283E-06
BP	GO:0008380	RNA splicing	Ptbp1,Cirbp,Fxr2,Prpf39,Srsf5,Hnrnpk,Acin1,Tra2b,Luc7l,Srsf3,U2af1,Hnrnpm,Cdc5l,Srsf7,Thoc1,Cir1,Mfap1a,Rbm39,Fxr1,Prpf38b,Srsf10,Srpk2,Tra2a,Tia1,Fus,Hspa8,Rbm5,Rbm3	2.23927577987104E-06
BP	GO:0007272	ensheathment of neurons	Cntn2,Omg,Tppp,Sox10,Tnfrsf21,Epb41l3,Myrf,Abca2,Mal,Cldn11,Tspan2,Ugt8a,Hes5,Mag,Pllp,Fa2h,Trf,Plp1	2.23927577987104E-06
BP	GO:0008366	axon ensheathment	Cntn2,Omg,Tppp,Sox10,Tnfrsf21,Epb41l3,Myrf,Abca2,Mal,Cldn11,Tspan2,Ugt8a,Hes5,Mag,Pllp,Fa2h,Trf,Plp1	2.23927577987104E-06
BP	GO:1904851	positive regulation of establishment of protein localization to telomere	Cct4,Cct5,Cct8,Tcp1,Cct7,Dkc1	2.25657979557074E-06
BP	GO:0043484	regulation of RNA splicing	Ptbp1,Cirbp,Fxr2,Srsf5,Hnrnpk,Acin1,Tra2b,Srsf3,Srsf7,Rbm39,Fxr1,Srsf10,Tra2a,Tia1,Fus,Hspa8,Rbm5,Rbm3	4.34015324232659E-06
BP	GO:0070203	regulation of establishment of protein localization to telomere	Cct4,Cct5,Cct8,Tcp1,Cct7,Dkc1	4.34015324232659E-06
BP	GO:0061077	chaperone-mediated protein folding	Cct4,Cct5,Cct8,Tcp1,Hspa5,Ppid,Hsph1,Cct7,Fkbp4,Chordc1,Hspa8	6.16788304924883E-06
BP	GO:0070202	regulation of establishment of protein localization to chromosome	Cct4,Cct5,Cct8,Tcp1,Cct7,Dkc1	7.68358785188677E-06
