	SAL01	SAL02	SAL03	SAL04	SAL07	MN01	MN02	MN03	MN04	MN05	ABS01	ABS02	ABS03	ABS04	ABS05	ABS06	ABS07
Sox17|Sox17	1120	519	1190	890	2179	1240	322	792	1433	958	1242	826	544	451	1097	840	1855
Xkr4|Xkr4	24	10	3	0	0	35	0	0	105	0	61	24	20	39	0	34	116
Gm39585|Gm39585	7	0	13	22	138	54	0	11	0	0	0	59	14	11	0	44	0
Mrpl15|Mrpl15	2973	1875	2472	1827	3174	2822	1971	3548	2632	2511	2586	4847	3050	3033	2183	3977	3271
Lypla1|Lypla1	10060	7075	8909	6223	7600	9074	6310	10492	7981	11807	8769	12218	7542	8616	8963	12481	10219
Tcea1|Tcea1	9139	6664	7450	5923	8561	8548	6364	11058	8247	10238	7466	10046	7257	8043	9147	9034	9221
Rgs20|Rgs20	27	66	56	69	151	204	79	143	158	0	210	208	160	82	290	108	218
Gm16041|Gm16041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oprk1|Oprk1	0	0	0	0	0	0	0	14	0	0	81	0	32	84	0	0	26
Atp6v1h|Atp6v1h	6826	5064	6889	4712	7065	5570	4840	9205	5489	7618	7201	8903	6096	6600	6085	7593	8326
St18|St18	64	172	91	156	294	333	99	43	362	114	196	298	233	47	169	660	320
Rb1cc1|Rb1cc1	4943	3433	5653	3806	6013	5989	4353	4854	2812	2790	5660	1723	3109	5602	6543	5684	4485
4732440D04Rik|4732440D04Rik	162	161	172	124	66	355	61	212	46	221	304	233	232	224	8	175	289
Pcmtd1|Pcmtd1	4920	3660	4533	3781	6581	5058	3178	6075	4695	5497	6984	7543	5208	5013	6486	5643	7267
Mybl1|Mybl1	0	0	0	0	0	0	43	0	0	0	11	0	74	0	0	0	0
Gm39590|Gm39590	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	10	18
Vcpip1|Vcpip1	3905	3027	3685	2712	5701	5100	2690	5031	3190	4398	4132	6062	5340	5635	6511	4831	5320
1700034P13Rik|1700034P13Rik	9	3	17	6	57	17	7	5	15	10	5	33	2	7	15	21	20
Adhfe1|Adhfe1	346	135	249	149	129	220	103	258	281	204	281	287	234	213	547	691	459
Rrs1|Rrs1	1472	1203	1879	1189	1855	1311	804	1448	459	958	1228	1962	1566	1456	1323	1895	1588
2610203C22Rik|2610203C22Rik	2553	1918	2489	1856	3512	2155	1498	3590	2430	3051	3409	3980	2743	2619	4129	3189	3974
3110035E14Rik|3110035E14Rik	121	50	154	97	0	142	558	535	399	0	469	287	233	191	562	228	341
Mcmdc2|Mcmdc2	8	21	13	50	3	14	14	0	25	4	23	43	23	0	40	41	147
Snhg6|Snhg6	208	150	210	147	246	169	96	217	195	145	168	476	236	240	160	183	243
Snord87|Snord87	6	1	2	8	2	5	5	5	0	0	1	2	8	4	2	4	9
Cops5|Cops5	3065	2122	2506	2342	3673	3011	1936	4133	1983	3345	2394	3596	2467	2864	3310	3538	3281
Cspp1|Cspp1	1351	732	720	627	2422	735	1064	1082	693	1961	842	1088	927	1010	1336	1307	866
Sgk3|Sgk3	8563	5580	6736	5733	6887	9774	8018	12143	8421	12146	7912	9538	5240	7440	8932	10062	6520
Arfgef1|Arfgef1	841	813	1063	654	1008	1168	1162	1654	995	1478	1202	935	738	1279	726	1061	1239
Prex2|Prex2	138	101	123	250	575	221	174	258	325	237	146	256	214	68	444	306	663
Sulf1|Sulf1	0	0	0	0	0	102	187	0	0	0	141	28	0	57	0	98	249
Gm39595|Gm39595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
A830018L16Rik|A830018L16Rik	16	7	32	0	0	0	21	0	21	0	0	28	0	37	0	32	61
Ncoa2|Ncoa2	1422	870	1302	1007	944	1855	956	1622	643	2017	1495	2082	1221	1304	1792	1448	1774
Sbspon|Sbspon	71	9	66	10	138	71	0	37	34	53	35	88	42	43	0	99	27
Terf1|Terf1	2330	1684	2198	1383	2526	1963	1701	2564	1630	3021	1831	2564	2399	2379	1689	2129	2776
Lactb2|Lactb2	4875	3241	3961	3249	6007	3546	3097	5587	3607	5492	4719	5287	4324	4086	4656	4752	4995
Tram1|Tram1	43559	37489	44268	31638	42085	41530	28022	41983	21908	44025	39229	30770	36555	50487	57883	50967	36777
Rpl7|Rpl7	21408	15093	20017	13504	25524	17983	12598	21835	14600	22510	16239	29944	20536	22014	17010	22866	23281
Rdh10|Rdh10	1117	633	871	753	362	1133	770	708	568	686	602	540	649	692	227	669	1075
Stau2|Stau2	804	689	893	738	967	910	993	1700	826	1075	1125	1725	952	1185	2427	1681	707
LOC102634042|LOC102634042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ube2w|Ube2w	6086	4546	5389	4058	6756	6165	4157	8101	4741	7463	6959	9386	6563	7443	7062	6932	8151
LOC108167614|LOC108167614	27	4	0	0	0	0	14	32	0	0	88	51	43	0	0	13	0
Tmem70|Tmem70	3651	2780	3815	2333	3756	3740	2862	5233	3838	4613	3058	5506	4483	4559	4289	4813	4046
Tceb1|Tceb1	8742	6074	7397	5602	9613	7469	4750	8876	6386	8623	8411	12545	7887	8971	9011	10091	9868
Gdap1|Gdap1	68	148	28	68	256	63	61	50	278	129	78	64	82	108	352	282	231
Gm28154|Gm28154	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pi15|Pi15	0	0	0	0	0	24	0	0	0	0	60	0	0	0	0	0	0
Tfap2b|Tfap2b	5	3	34	10	0	0	0	0	20	0	51	0	26	53	0	0	0
Ly96|Ly96	1738	1479	1607	1250	1649	2452	1583	2577	1401	3073	1353	2771	1963	1868	1667	2224	1636
Gm16070|Gm16070	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Crispld1|Crispld1	0	29	113	35	376	86	0	80	0	252	85	81	27	45	0	134	119
Gm28153|Gm28153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Khdc1b|Khdc1b	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm29506|Gm29506	0	0	0	0	0	0	0	0	0	0	2	0	0	0	33	0	0
Paqr8|Paqr8	418	178	196	285	620	477	287	638	598	149	658	170	418	248	1237	434	821
Tmem14a|Tmem14a	138	186	137	136	84	192	188	139	224	85	168	356	149	161	178	517	266
