gene_id,CRV01,CRV02,CRV03,CRV04,CRV05,CRV06,CRV07,MN01,MN02,MN03,MN04,MN05,MN06,MN07,MN08,SAL01,SAL02,SAL03,SAL04,SAL05,SAL06,SAL07,SAL08
Sox17|Sox17,1242,826,544,451,1097,840,1855,1240,322,792,1433,958,5268,3101,1094,1120,519,1190,890,1249,674,2179,2539
Xkr4|Xkr4,61,24,20,39,0,34,116,35,0,0,105,0,0,0,0,24,10,3,0,5,0,0,0
Gm39585|Gm39585,0,59,14,11,0,44,0,54,0,11,0,0,0,0,28,7,0,13,22,0,0,138,30
Mrpl15|Mrpl15,2586,4847,3050,3033,2183,3977,3271,2822,1971,3548,2632,2511,3149,1339,3621,2973,1875,2472,1827,1929,3192,3174,2876
Lypla1|Lypla1,8769,12218,7542,8616,8963,12481,10219,9074,6310,10492,7981,11807,9847,11206,12069,10060,7075,8909,6223,7256,7414,7600,7479
Tcea1|Tcea1,7466,10046,7257,8043,9147,9034,9221,8548,6364,11058,8247,10238,9159,10186,9337,9139,6664,7450,5923,7572,7241,8561,9193
Rgs20|Rgs20,210,208,160,82,290,108,218,204,79,143,158,0,0,0,133,27,66,56,69,358,14,151,119
Gm16041|Gm16041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oprk1|Oprk1,81,0,32,84,0,0,26,0,0,14,0,0,0,0,43,0,0,0,0,0,0,0,54
Atp6v1h|Atp6v1h,7201,8903,6096,6600,6085,7593,8326,5570,4840,9205,5489,7618,4452,3809,10833,6826,5064,6889,4712,5603,6439,7065,6764
St18|St18,196,298,233,47,169,660,320,333,99,43,362,114,442,0,285,64,172,91,156,446,0,294,117
Rb1cc1|Rb1cc1,5660,1723,3109,5602,6543,5684,4485,5989,4353,4854,2812,2790,5570,6811,6344,4943,3433,5653,3806,3795,2218,6013,5846
4732440D04Rik|4732440D04Rik,304,233,232,224,8,175,289,355,61,212,46,221,25,178,77,162,161,172,124,152,390,66,60
Pcmtd1|Pcmtd1,6984,7543,5208,5013,6486,5643,7267,5058,3178,6075,4695,5497,5369,7126,7332,4920,3660,4533,3781,6607,5394,6581,5858
Mybl1|Mybl1,11,0,74,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,21
Gm39590|Gm39590,0,11,0,0,0,10,18,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0
Vcpip1|Vcpip1,4132,6062,5340,5635,6511,4831,5320,5100,2690,5031,3190,4398,4511,5210,4398,3905,3027,3685,2712,3047,4383,5701,4476
1700034P13Rik|1700034P13Rik,5,33,2,7,15,21,20,17,7,5,15,10,14,15,32,9,3,17,6,6,6,57,23
Adhfe1|Adhfe1,281,287,234,213,547,691,459,220,103,258,281,204,391,564,1354,346,135,249,149,416,196,129,453
Rrs1|Rrs1,1228,1962,1566,1456,1323,1895,1588,1311,804,1448,459,958,1469,2055,1914,1472,1203,1879,1189,1231,1552,1855,1715
2610203C22Rik|2610203C22Rik,3409,3980,2743,2619,4129,3189,3974,2155,1498,3590,2430,3051,1460,3629,2534,2553,1918,2489,1856,2704,2939,3512,2922
3110035E14Rik|3110035E14Rik,469,287,233,191,562,228,341,142,558,535,399,0,0,0,51,121,50,154,97,37,240,0,497
Mcmdc2|Mcmdc2,23,43,23,0,40,41,147,14,14,0,25,4,3,124,64,8,21,13,50,237,17,3,30
Snhg6|Snhg6,168,476,236,240,160,183,243,169,96,217,195,145,208,88,320,208,150,210,147,165,182,246,209
Snord87|Snord87,1,2,8,4,2,4,9,5,5,5,0,0,15,0,5,6,1,2,8,13,1,2,4
Cops5|Cops5,2394,3596,2467,2864,3310,3538,3281,3011,1936,4133,1983,3345,4478,2091,4521,3065,2122,2506,2342,2593,2517,3673,3035
Cspp1|Cspp1,842,1088,927,1010,1336,1307,866,735,1064,1082,693,1961,2524,1400,1232,1351,732,720,627,870,888,2422,992
Sgk3|Sgk3,7912,9538,5240,7440,8932,10062,6520,9774,8018,12143,8421,12146,9691,9606,13582,8563,5580,6736,5733,6362,8909,6887,7826
Arfgef1|Arfgef1,1202,935,738,1279,726,1061,1239,1168,1162,1654,995,1478,542,788,1696,841,813,1063,654,1284,1174,1008,849
Prex2|Prex2,146,256,214,68,444,306,663,221,174,258,325,237,195,229,443,138,101,123,250,448,59,575,280
Sulf1|Sulf1,141,28,0,57,0,98,249,102,187,0,0,0,519,0,22506,0,0,0,0,0,0,0,113
Gm39595|Gm39595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A830018L16Rik|A830018L16Rik,0,28,0,37,0,32,61,0,21,0,21,0,0,0,408,16,7,32,0,0,0,0,0
Ncoa2|Ncoa2,1495,2082,1221,1304,1792,1448,1774,1855,956,1622,643,2017,1819,1410,1469,1422,870,1302,1007,943,1244,944,1158
Sbspon|Sbspon,35,88,42,43,0,99,27,71,0,37,34,53,235,0,835,71,9,66,10,7,48,138,262
Terf1|Terf1,1831,2564,2399,2379,1689,2129,2776,1963,1701,2564,1630,3021,1351,3465,1917,2330,1684,2198,1383,1415,1905,2526,2283
Lactb2|Lactb2,4719,5287,4324,4086,4656,4752,4995,3546,3097,5587,3607,5492,2445,5264,4061,4875,3241,3961,3249,3673,4180,6007,3491
Tram1|Tram1,39229,30770,36555,50487,57883,50967,36777,41530,28022,41983,21908,44025,38207,55434,39471,43559,37489,44268,31638,27263,27302,42085,40629
Rpl7|Rpl7,16239,29944,20536,22014,17010,22866,23281,17983,12598,21835,14600,22510,16213,14670,23260,21408,15093,20017,13504,16189,20383,25524,21926
Rdh10|Rdh10,602,540,649,692,227,669,1075,1133,770,708,568,686,1765,597,4251,1117,633,871,753,674,480,362,935
Stau2|Stau2,1125,1725,952,1185,2427,1681,707,910,993,1700,826,1075,1370,989,1398,804,689,893,738,886,1007,967,1062
LOC102634042|LOC102634042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ube2w|Ube2w,6959,9386,6563,7443,7062,6932,8151,6165,4157,8101,4741,7463,5654,8093,7287,6086,4546,5389,4058,4912,5761,6756,4965
LOC108167614|LOC108167614,88,51,43,0,0,13,0,0,14,32,0,0,0,0,0,27,4,0,0,0,3,0,9
Tmem70|Tmem70,3058,5506,4483,4559,4289,4813,4046,3740,2862,5233,3838,4613,3966,3954,4879,3651,2780,3815,2333,2252,3394,3756,3279
Tceb1|Tceb1,8411,12545,7887,8971,9011,10091,9868,7469,4750,8876,6386,8623,5597,7369,8622,8742,6074,7397,5602,8232,7772,9613,7889
Gdap1|Gdap1,78,64,82,108,352,282,231,63,61,50,278,129,0,0,0,68,148,28,68,7,22,256,79
Gm28154|Gm28154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pi15|Pi15,60,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tfap2b|Tfap2b,51,0,26,53,0,0,0,0,0,0,20,0,0,0,27,5,3,34,10,0,0,0,0
Ly96|Ly96,1353,2771,1963,1868,1667,2224,1636,2452,1583,2577,1401,3073,2092,1783,2093,1738,1479,1607,1250,1407,2477,1649,1524
