	ONTOLOGY	ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count	Comparison
GO:0048709	BP	GO:0048709	oligodendrocyte differentiation	18/417	118/21359	1.54884689809167e-11	6.44165424916326e-08	5.32477259912358e-08	Cntn2/Aspa/Omg/Cnp/Tppp/Enpp2/Sox10/Tnfrsf21/Myrf/Il33/Opalin/Abca2/Mal/Tspan2/Hes5/Mag/Fa2h/Plp1	18	MaintenancevsSaline
GO:0022010	BP	GO:0022010	central nervous system myelination	10/417	29/21359	1.03943737938196e-10	1.08684964122201e-07	8.98406987568133e-08	Cntn2/Omg/Sox10/Myrf/Abca2/Mal/Hes5/Mag/Fa2h/Plp1	10	MaintenancevsSaline
GO:0032291	BP	GO:0032291	axon ensheathment in central nervous system	10/417	29/21359	1.03943737938196e-10	1.08684964122201e-07	8.98406987568133e-08	Cntn2/Omg/Sox10/Myrf/Abca2/Mal/Hes5/Mag/Fa2h/Plp1	10	MaintenancevsSaline
GO:0050684	BP	GO:0050684	regulation of mRNA processing	19/417	149/21359	1.04529900574369e-10	1.08684964122201e-07	8.98406987568133e-08	Ptbp1/Cirbp/Fxr2/Zfp36l1/Hnrnpk/Ccnb1/Acin1/Tra2b/Srsf3/Srsf7/Rbm39/Fxr1/Srsf10/Srpk2/Tra2a/Tia1/Hspa8/Rbm5/Rbm3	19	MaintenancevsSaline
GO:0006397	BP	GO:0006397	mRNA processing	32/417	452/21359	3.93360514646796e-10	3.1509592223362e-07	2.60463239395858e-07	Ptbp1/Cirbp/Fxr2/Prpf39/Zfp36l1/Srsf5/Hnrnpk/Ccnb1/Acin1/Tra2b/Luc7l/Srsf3/U2af1/Akap8l/Hnrnpm/Cdc5l/Srsf7/Thoc1/Cir1/Mfap1a/Rbm39/Fxr1/Prpf38b/Srsf10/Srpk2/Fip1l1/Tra2a/Tia1/Aplp1/Hspa8/Rbm5/Rbm3	32	MaintenancevsSaline
GO:0006457	BP	GO:0006457	protein folding	19/417	164/21359	5.54529691114911e-10	3.1509592223362e-07	2.60463239395858e-07	Hspd1/Cct4/Ahsa2/Ahsa1/Cct5/Cct8/Tcp1/Hsp90ab1/Cdc37l1/Hspa5/Ppig/Ppid/Dnaja1/Hsph1/Cct7/Fkbp4/Chordc1/Hspa8/Cryab	19	MaintenancevsSaline
GO:0048024	BP	GO:0048024	regulation of mRNA splicing, via spliceosome	16/417	112/21359	5.7568812469242e-10	3.1509592223362e-07	2.60463239395858e-07	Ptbp1/Cirbp/Fxr2/Hnrnpk/Acin1/Tra2b/Srsf3/Srsf7/Rbm39/Fxr1/Srsf10/Tra2a/Tia1/Hspa8/Rbm5/Rbm3	16	MaintenancevsSaline
GO:0000375	BP	GO:0000375	RNA splicing, via transesterification reactions	24/417	270/21359	7.57624241965905e-10	3.1509592223362e-07	2.60463239395858e-07	Ptbp1/Cirbp/Fxr2/Prpf39/Srsf5/Hnrnpk/Acin1/Tra2b/Luc7l/Srsf3/U2af1/Hnrnpm/Cdc5l/Srsf7/Mfap1a/Rbm39/Fxr1/Srsf10/Srpk2/Tra2a/Tia1/Hspa8/Rbm5/Rbm3	24	MaintenancevsSaline
GO:0000377	BP	GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	24/417	270/21359	7.57624241965905e-10	3.1509592223362e-07	2.60463239395858e-07	Ptbp1/Cirbp/Fxr2/Prpf39/Srsf5/Hnrnpk/Acin1/Tra2b/Luc7l/Srsf3/U2af1/Hnrnpm/Cdc5l/Srsf7/Mfap1a/Rbm39/Fxr1/Srsf10/Srpk2/Tra2a/Tia1/Hspa8/Rbm5/Rbm3	24	MaintenancevsSaline
GO:0000398	BP	GO:0000398	mRNA splicing, via spliceosome	24/417	270/21359	7.57624241965905e-10	3.1509592223362e-07	2.60463239395858e-07	Ptbp1/Cirbp/Fxr2/Prpf39/Srsf5/Hnrnpk/Acin1/Tra2b/Luc7l/Srsf3/U2af1/Hnrnpm/Cdc5l/Srsf7/Mfap1a/Rbm39/Fxr1/Srsf10/Srpk2/Tra2a/Tia1/Hspa8/Rbm5/Rbm3	24	MaintenancevsSaline
GO:0014003	BP	GO:0014003	oligodendrocyte development	11/417	48/21359	1.62668215394938e-09	6.15033734388681e-07	5.08396546870688e-07	Cntn2/Omg/Tppp/Sox10/Myrf/Abca2/Mal/Hes5/Mag/Fa2h/Plp1	11	MaintenancevsSaline
GO:1903311	BP	GO:1903311	regulation of mRNA metabolic process	24/417	303/21359	7.519000502016e-09	2.60596025732371e-06	2.15412768768283e-06	Ptbp1/Cirbp/Fxr2/Pum2/Zfp36l1/Hnrnpk/Ccnb1/Acin1/Carhsp1/Tra2b/Srsf3/Hnrnpm/Srsf7/Rbm39/Fxr1/Srsf10/Srpk2/Zc3hav1/Tra2a/Tia1/Fus/Hspa8/Rbm5/Rbm3	24	MaintenancevsSaline
GO:0008380	BP	GO:0008380	RNA splicing	28/417	406/21359	8.99503084755272e-09	2.70896833131031e-06	2.23927577987104e-06	Ptbp1/Cirbp/Fxr2/Prpf39/Srsf5/Hnrnpk/Acin1/Tra2b/Luc7l/Srsf3/U2af1/Hnrnpm/Cdc5l/Srsf7/Thoc1/Cir1/Mfap1a/Rbm39/Fxr1/Prpf38b/Srsf10/Srpk2/Tra2a/Tia1/Fus/Hspa8/Rbm5/Rbm3	28	MaintenancevsSaline
GO:0007272	BP	GO:0007272	ensheathment of neurons	18/417	174/21359	9.77026327714708e-09	2.70896833131031e-06	2.23927577987104e-06	Cntn2/Omg/Tppp/Sox10/Tnfrsf21/Epb41l3/Myrf/Abca2/Mal/Cldn11/Tspan2/Ugt8a/Hes5/Mag/Pllp/Fa2h/Trf/Plp1	18	MaintenancevsSaline
GO:0008366	BP	GO:0008366	axon ensheathment	18/417	174/21359	9.77026327714708e-09	2.70896833131031e-06	2.23927577987104e-06	Cntn2/Omg/Tppp/Sox10/Tnfrsf21/Epb41l3/Myrf/Abca2/Mal/Cldn11/Tspan2/Ugt8a/Hes5/Mag/Pllp/Fa2h/Trf/Plp1	18	MaintenancevsSaline
GO:1904851	BP	GO:1904851	positive regulation of establishment of protein localization to telomere	6/417	10/21359	1.05021472420928e-08	2.72990189874151e-06	2.25657979557074e-06	Cct4/Cct5/Cct8/Tcp1/Cct7/Dkc1	6	MaintenancevsSaline
GO:0043484	BP	GO:0043484	regulation of RNA splicing	18/417	183/21359	2.16048045699146e-08	5.25050902268661e-06	4.34015324232659e-06	Ptbp1/Cirbp/Fxr2/Srsf5/Hnrnpk/Acin1/Tra2b/Srsf3/Srsf7/Rbm39/Fxr1/Srsf10/Tra2a/Tia1/Fus/Hspa8/Rbm5/Rbm3	18	MaintenancevsSaline
GO:0070203	BP	GO:0070203	regulation of establishment of protein localization to telomere	6/417	11/21359	2.27240111585379e-08	5.25050902268661e-06	4.34015324232659e-06	Cct4/Cct5/Cct8/Tcp1/Cct7/Dkc1	6	MaintenancevsSaline
GO:0061077	BP	GO:0061077	chaperone-mediated protein folding	11/417	63/21359	3.40876573909802e-08	7.46160879416246e-06	6.16788304924883e-06	Cct4/Cct5/Cct8/Tcp1/Hspa5/Ppid/Hsph1/Cct7/Fkbp4/Chordc1/Hspa8	11	MaintenancevsSaline
GO:0070202	BP	GO:0070202	regulation of establishment of protein localization to chromosome	6/417	12/21359	4.46993781952997e-08	9.29523569571256e-06	7.68358785188677e-06	Cct4/Cct5/Cct8/Tcp1/Cct7/Dkc1	6	MaintenancevsSaline
GO:0042552	BP	GO:0042552	myelination	17/417	172/21359	4.96616719404857e-08	9.83537588573715e-06	8.13007621842739e-06	Cntn2/Omg/Tppp/Sox10/Tnfrsf21/Epb41l3/Myrf/Abca2/Mal/Tspan2/Ugt8a/Hes5/Mag/Pllp/Fa2h/Trf/Plp1	17	MaintenancevsSaline
GO:1904816	BP	GO:1904816	positive regulation of protein localization to chromosome, telomeric region	6/417	13/21359	8.16461248869035e-08	1.54348287911196e-05	1.27586719560109e-05	Cct4/Cct5/Cct8/Tcp1/Cct7/Dkc1	6	MaintenancevsSaline
GO:0021782	BP	GO:0021782	glial cell development	14/417	120/21359	9.61402926335745e-08	1.73846729157842e-05	1.43704437410185e-05	Cntn2/Omg/Tppp/Sox10/Myrf/Abca2/Mal/Phgdh/Tspan2/Hes5/Mag/Fa2h/Cspg5/Plp1	14	MaintenancevsSaline
GO:1904814	BP	GO:1904814	regulation of protein localization to chromosome, telomeric region	6/417	14/21359	1.40528596110163e-07	2.4352434634257e-05	2.01301050392891e-05	Cct4/Cct5/Cct8/Tcp1/Cct7/Dkc1	6	MaintenancevsSaline
GO:0010001	BP	GO:0010001	glial cell differentiation	20/417	257/21359	1.80884216350669e-07	3.00918982320973e-05	2.48744358147909e-05	Cntn2/Aspa/Omg/Cnp/Tppp/Enpp2/Sox10/Tnfrsf21/Myrf/Il33/Opalin/Abca2/Mal/Phgdh/Tspan2/Hes5/Mag/Fa2h/Cspg5/Plp1	20	MaintenancevsSaline
GO:0070199	BP	GO:0070199	establishment of protein localization to chromosome	7/417	25/21359	3.64760516043849e-07	5.83476533163988e-05	4.82310868582677e-05	Cct4/Nipbl/Cct5/Cct8/Tcp1/Cct7/Dkc1	7	MaintenancevsSaline
GO:0051276	BP	GO:0051276	chromosome organization	28/417	495/21359	5.60458197255012e-07	8.63313200882812e-05	7.136282542826e-05	Rrs1/Tpr/Morc2a/Cct4/Ube2b/Ctc1/Zfp207/Top2a/Pum2/Ccnb1/Acin1/Nipbl/Cct5/Chmp2b/Cct8/Tcp1/Akap8l/Hsp90ab1/Esco1/Eml3/Smc3/Top1/Fbxw7/Cct7/Atf7ip/Naa10/Dkc1/Smc1a	28	MaintenancevsSaline
GO:0070200	BP	GO:0070200	establishment of protein localization to telomere	6/417	18/21359	8.12958594110269e-07	0.000120753385460879	9.98166454272232e-05	Cct4/Cct5/Cct8/Tcp1/Cct7/Dkc1	6	MaintenancevsSaline
GO:1903829	BP	GO:1903829	positive regulation of protein localization	27/417	482/21359	1.07986870111293e-06	0.000154868066480299	0.000128016376690919	Ptgs2/Tpr/Glul/Gja1/Ank3/Cct4/Hnrnpk/Cct5/Ptp4a3/Cct8/Tcp1/Hnrnpm/Hsp90ab1/Tnfaip6/Il1a/Prnp/Ppid/Fbxw7/Syt11/Gpsm2/Rufy3/Dynll1/Cct7/Edem1/Clip3/Pls1/Dkc1	27	MaintenancevsSaline
GO:0099612	BP	GO:0099612	protein localization to axon	5/417	11/21359	1.16138938858763e-06	0.000161007282237866	0.000133091148881656	Cntn2/Ank3/Epb41l3/Mal/Ugt8a	5	MaintenancevsSaline
GO:1902904	BP	GO:1902904	negative regulation of supramolecular fiber organization	15/417	170/21359	1.31174054106845e-06	0.000175984803558184	0.000145471803298118	Tmeff2/Map2/Ssh2/Map1b/Tubb4a/Gsn/Stmn1/Ctnna2/Fkbp4/Apoe/Clip3/Hspa8/Cryab/Tmod2/Shroom2	15	MaintenancevsSaline
GO:0031647	BP	GO:0031647	regulation of protein stability	20/417	299/21359	1.96792969812771e-06	0.000255769362953536	0.000211422973489641	Hspd1/Cct4/Irgm1/Ube2b/Ncor1/Zfp207/Cct5/Senp2/Cct8/Tcp1/Hsp90ab1/Cdc37l1/Gsn/Prnp/Fbxw7/Cct7/Atf7ip/Insc/Hspa8/Cryab	20	MaintenancevsSaline
GO:0070507	BP	GO:0070507	regulation of microtubule cytoskeleton organization	14/417	155/21359	2.23925468016046e-06	0.000282213945902647	0.000233282481193112	Map2/Tpr/Tppp/Map1b/Stmn4/Slain1/Chmp2b/Tubb4a/Eml3/Gpsm2/Stmn1/Hsph1/Fkbp4/Clip3	14	MaintenancevsSaline
GO:0042063	BP	GO:0042063	gliogenesis	22/417	358/21359	2.46608905102199e-06	0.000301087782402385	0.000248883890947011	Cntn2/Aspa/Omg/Cnp/Tppp/Enpp2/Sox10/Etv5/Tnfrsf21/Myrf/Il33/Opalin/Abca2/Mal/Phgdh/Tspan2/Hes5/Mag/Fa2h/Trf/Cspg5/Plp1	22	MaintenancevsSaline
GO:1904951	BP	GO:1904951	positive regulation of establishment of protein localization	21/417	331/21359	2.53379956337665e-06	0.000301087782402385	0.000248883890947011	Ptgs2/Tpr/Glul/Gja1/Ank3/Cct4/Cct5/Ptp4a3/Cct8/Tcp1/Hnrnpm/Hsp90ab1/Il1a/Prnp/Ppid/Fbxw7/Rufy3/Dynll1/Cct7/Edem1/Dkc1	21	MaintenancevsSaline
GO:0046785	BP	GO:0046785	microtubule polymerization	10/417	79/21359	3.13287688102138e-06	0.000361934304115776	0.000299180581678825	Map2/Csnk1d/Tppp/Map1b/Slain1/Tubb4a/Stmn1/Fkbp4/Clip3/Tppp3	10	MaintenancevsSaline
GO:0010639	BP	GO:0010639	negative regulation of organelle organization	22/417	364/21359	3.2290873118696e-06	0.000362966868380153	0.000300034115521084	Tmeff2/Map2/Tpr/Ctc1/Ssh2/Zfp207/Top2a/Map1b/Ccnb1/Nubp1/Tubb4a/Gsn/Bcl2l1/Stmn1/Ctnna2/Fkbp4/Clip3/Ccp110/Fez1/Tmod2/Naa10/Shroom2	22	MaintenancevsSaline
GO:1902903	BP	GO:1902903	regulation of supramolecular fiber organization	22/417	366/21359	3.52766628827977e-06	0.000386093791919883	0.000319151193837167	Tmeff2/Map2/Ssh2/Map1b/Slain1/Rictor/Ppm1f/Tubb4a/Gsn/Lpar1/Stmn1/Ctnna2/Arpc4/Fkbp4/Apoe/Clip3/Colgalt1/Hspa8/Cryab/Tmod2/Pak3/Shroom2	22	MaintenancevsSaline
GO:0050821	BP	GO:0050821	protein stabilization	15/417	186/21359	4.02942116040396e-06	0.000429589081110395	0.000355105083182079	Hspd1/Cct4/Irgm1/Ube2b/Ncor1/Zfp207/Cct5/Cct8/Tcp1/Hsp90ab1/Cdc37l1/Fbxw7/Cct7/Atf7ip/Cryab	15	MaintenancevsSaline
GO:0031109	BP	GO:0031109	microtubule polymerization or depolymerization	12/417	120/21359	4.13165742832792e-06	0.000429589081110395	0.000355105083182079	Map2/Csnk1d/Tppp/Map1b/Stmn4/Slain1/Tubb4a/Stmn1/Fkbp4/Clip3/Tppp3/Cryab	12	MaintenancevsSaline
GO:0031115	BP	GO:0031115	negative regulation of microtubule polymerization	5/417	15/21359	7.07661584009195e-06	0.000717845006803474	0.000593381959787941	Map2/Tubb4a/Stmn1/Fkbp4/Clip3	5	MaintenancevsSaline
GO:0032271	BP	GO:0032271	regulation of protein polymerization	15/417	196/21359	7.63425724052697e-06	0.000755973234841706	0.0006248993520692	Map2/Ssh2/Tppp/Map1b/Slain1/Rictor/Tubb4a/Gsn/Stmn1/Arpc4/Fkbp4/Clip3/Tppp3/Tmod2/Pak3	15	MaintenancevsSaline
GO:0140694	BP	GO:0140694	non-membrane-bounded organelle assembly	21/417	359/21359	8.90744038325939e-06	0.000861535919859903	0.000712159125868425	Rrs1/Tpr/Pwp2/Cirbp/Ncor1/Zfp207/Nle1/Csnk1d/Pum2/Chmp2b/Haus1/Eml3/Smc3/Gsn/Casq2/Gpsm2/Tia1/Ccp110/Tmod2/Pls1/Smc1a	21	MaintenancevsSaline
