	names(gene_matrix3)
1	21399
2	170755
3	68187
4	213109
5	19243
6	13518
7	67387
8	17082
9	98267
10	15510
11	18187
12	72823
13	74104
14	76867
15	210293
16	98496
17	94284
18	171531
19	170706
20	72949
21	67812
22	13714
23	98415
24	70579
25	215615
26	66241
27	108989
28	98685
29	14645
30	20652
31	12301
32	226594
33	80915
34	14131
35	98365
36	320404
37	22033
38	23924
39	353258
40	56535
41	72567
42	15979
43	14051
44	237339
45	171580
46	14728
47	18768
48	52717
49	18451
50	67500
51	108705
52	18641
53	110816
54	18114
55	19205
56	12696
57	11776
58	18717
59	408062
60	67603
61	17931
62	102633868
63	17110
64	56480
65	102639520
66	80904
67	13198
68	103284
69	66844
70	74522
71	14030
72	22433
73	216549
74	12464
75	268390
76	67939
77	16822
78	171285
79	52626
80	22210
81	17001
82	27041
83	67726
84	432572
85	20185
86	22187
87	68964
88	24070
89	70310
90	56310
91	66172
92	66102
93	19175
94	216873
95	69723
96	195018
97	76281
98	237847
99	237859
100	237860
101	237868
102	16859
103	54394
104	59040
105	216991
106	105242793
107	20306
108	20293
109	217011
110	100503272
111	20556
112	20302
113	11640
114	217082
115	103711
116	320655
117	217166
118	57376
119	217194
120	27419
121	68066
122	14580
123	56699
124	217303
125	217337
126	67763
127	15081
128	74136
129	217353
130	71562
131	14387
132	66838
133	68938
134	80913
135	73389
136	380753
137	27362
138	72183
139	211151
140	73834
141	20384
142	19164
143	68737
144	217737
145	66204
146	102632708
147	76559
148	68520
149	217893
150	70430
151	72739
152	105245464
153	100038577
154	12522
155	23882
156	20354
157	72935
158	15387
159	105348
160	14088
161	66970
162	218503
163	17079
164	73274
165	353187
166	16531
167	328365
168	211922
169	320736
170	219022
171	74385
172	11546
173	18950
174	11727
175	56215
176	54196
177	50934
178	68966
179	75751
180	105446
181	102638760
182	219158
183	105670
184	108811
185	105689
186	78757
187	23880
188	16880
189	71175
190	20512
191	17117
192	22763
193	18163
194	12465
195	105976
196	66736
197	70472
198	17869
199	11514
200	353342
201	17069
202	15499
203	16852
204	223693
205	20524
206	74778
207	223722
208	54138
209	16564
210	22142
211	239667
212	70152
213	102639573
214	16421
215	18574
216	12914
217	15369
218	26425
219	17250
220	224014
221	68606
222	66053
223	12846
224	104156
225	13682
226	224109
227	16419
228	22247
229	224139
230	268903
231	17968
232	12469
233	16155
234	56176
235	207781
236	20975
237	21454
238	68977
239	68611
240	474156
241	14229
242	20383
243	108121
244	54194
245	170716
246	76936
247	224705
248	16912
249	18515
250	94185
251	18038
252	71702
253	15516
254	14913
255	224836
256	98053
257	21950
258	19765
259	106585
260	17685
261	73825
262	21417
263	75415
264	14370
265	621998
266	225326
267	67869
268	12475
269	93724
270	107045
271	225523
272	60440
273	104027
274	21413
275	225745
276	110796
277	107239
278	20867
279	53319
280	225898
281	65221
282	68539
283	666907
284	107321
285	20409
286	15959
287	102634793
288	17060
289	12495
290	56454
291	70769
292	54130
293	14873
294	13006
295	53611
296	21416
297	12982
298	227541
299	76938
300	20933
301	18286
302	227696
303	227731
304	56017
305	14828
306	26920
307	24136
308	433424
309	228005
310	277396
311	228026
312	100503849
313	66861
314	20833
315	104418
316	69113
317	12359
318	212772
319	68032
320	228545
321	20619
322	99100
323	56461
324	81910
325	26450
326	27054
327	74030
328	241727
329	24105
330	15162
331	18769
332	16500
333	56336
334	52856
335	241846
336	56470
337	245867
338	20585
339	18805
340	69276
341	14359
342	56758
343	26879
344	320782
345	50754
346	12462
347	66256
348	11490
349	16194
350	229584
351	53970
352	229599
353	67220
354	236539
355	14547
356	12373
357	433638
358	99712
359	67171
360	69740
361	28036
362	211550
363	26377
364	229900
365	16911
366	170822
367	27354
368	242362
369	22234
370	373864
371	11520
372	15977
373	76608
374	21846
375	12331
376	75062
377	66407
378	12986
379	230753
380	242667
381	67349
382	75234
383	107271
384	68592
385	14105
386	230866
387	72754
388	20148
389	71707
390	13806
391	18628
392	20481
393	12537
394	100986
395	20817
396	23950
397	24055
398	80911
399	665775
400	57915
401	11576
402	11745
403	22022
404	192232
405	102637521
406	66383
407	23790
408	26431
409	20345
410	330177
411	67151
412	212919
413	110006
414	23921
415	83704
416	80752
417	231842
418	100683
419	11867
420	11987
421	100637
422	100042166
423	78781
424	26965
425	243371
426	71720
427	13063
428	52440
429	67442
430	17768
431	12468
432	232201
433	80283
434	71699
435	232236
436	16206
437	65106
438	19365
439	73149
440	56620
441	26888
442	319801
443	14228
444	243653
445	11857
446	12273
447	22323
448	13870
449	19698
450	11816
451	26365
452	23996
453	71984
454	68947
455	72287
456	12489
457	18226
458	14204
459	12028
460	14325
461	12036
462	17872
463	13170
464	16828
465	233489
466	18479
467	108937
468	22228
469	667823
470	76681
471	67420
472	244209
473	13631
474	80719
475	56347
476	75565
477	20887
478	233908
479	12176
480	74237
481	12476
482	64540
483	12443
484	102334
485	52123
486	102032
487	67276
488	52348
489	102103
490	77113
491	72368
492	76900
493	234388
494	26457
495	234407
496	17274
497	102633223
498	244548
499	56367
500	26992
501	19651
502	64209
503	57813
504	234734
505	53325
506	67443
507	77087
508	23854
509	56199
510	270110
511	72826
512	66917
513	30843
514	68682
515	66948
516	72828
517	15481
518	53376
519	214162
520	170752
521	19684
522	102657
523	24044
524	15211
525	27965
526	67958
527	192287
528	17532
529	235567
530	74840
531	83486
532	83669
533	215418
534	12768
535	74131
536	236792
537	27081
538	171207
539	56504
540	14567
541	210710
542	76206
543	53610
544	279572
545	58861
546	14605
547	211612
548	20229
549	170743
