	names(gene_matrix2)
1	56363
2	14367
3	19275
4	170706
5	21367
6	213464
7	11539
8	77552
9	11758
10	14131
11	16513
12	15979
13	14609
14	107449
15	11735
16	70911
17	77531
18	53605
19	13195
20	667214
21	14457
22	13643
23	216881
24	11484
25	76281
26	67477
27	18377
28	216991
29	22057
30	217166
31	12799
32	192775
33	67763
34	328110
35	104776
36	68520
37	105298
38	20745
39	105348
40	72948
41	100124641
42	13612
43	66970
44	100042235
45	105638
46	218952
47	18950
48	67272
49	12759
50	56471
51	213469
52	211712
53	105439
54	13618
55	114128
56	52589
57	18606
58	17869
59	20665
60	12805
61	67739
62	66053
63	11815
64	239827
65	224109
66	12549
67	50914
68	100037283
69	55951
70	100041965
71	20681
72	66978
73	14229
74	193740
75	17441
76	74011
77	12305
78	83965
79	224794
80	22153
81	225027
82	73825
83	633947
84	18189
85	63955
86	12385
87	67393
88	108101
89	107272
90	67072
91	77125
92	226115
93	20250
94	19215
95	227753
96	21930
97	77767
98	16403
99	66953
100	241520
101	19099
102	212772
103	20394
104	329504
105	99100
106	17153
107	19122
108	15162
109	207182
110	27219
111	18769
112	17183
113	68612
114	228911
115	56470
116	12349
117	192167
118	18417
119	58869
120	18526
121	13175
122	18645
123	30953
124	66949
125	67738
126	14658
127	12032
128	73940
129	229521
130	16194
131	67860
132	23831
133	70747
134	68312
135	22239
136	12801
137	24060
138	15502
139	242409
140	19266
141	76376
142	74519
143	67916
144	14664
145	19268
146	735288
147	16561
148	56226
149	15208
150	320587
151	108069
152	78890
153	12494
154	231329
155	22022
156	192232
157	19079
158	76854
159	75104
160	15505
161	14763
162	100039636
163	26965
164	12386
165	16979
166	30937
167	232333
168	98758
169	29862
170	16494
171	654818
172	67379
173	23996
174	14113
175	68458
176	76686
177	11803
178	17136
179	12028
180	13170
181	101685
182	66412
183	209225
184	14085
185	233571
186	244198
187	233752
188	101565
189	64297
190	13631
191	20887
192	233878
193	29810
194	207425
195	14183
196	56213
197	64540
198	102334
199	66959
200	234267
201	20284
202	72902
203	81489
204	67801
205	67971
206	338521
207	72826
208	235180
209	72927
210	17967
211	12955
212	56506
213	102414
214	83603
215	102502
216	107993
217	59092
218	66257
219	29873
220	67790
221	546336
222	14618
223	279572
224	18823
225	18481
226	75625
227	170743
