	gene_matrix_background
1	100009600
2	100009609
3	100009614
4	100009664
5	100012
6	100017
7	100019
8	100034251
9	100034361
10	100034363
11	100034675
12	100034726
13	100034729
14	100034739
15	100034748
16	100036518
17	100036520
18	100036521
19	100036523
20	100036537
21	100036568
22	100036569
23	100036768
24	100037258
25	100037260
26	100037262
27	100037282
28	100037283
29	100037396
30	100037413
31	100038347
32	100038353
33	100038356
34	100038358
35	100038363
36	100038371
37	100038374
38	100038378
39	100038382
40	100038384
41	100038388
42	100038392
43	100038394
44	100038410
45	100038417
46	100038429
47	100038437
48	100038439
49	100038453
50	100038454
51	100038460
52	100038464
53	100038467
54	100038468
55	100038476
56	100038479
57	100038481
58	100038489
59	100038492
60	100038493
61	100038494
62	100038497
63	100038504
64	100038513
65	100038514
66	100038516
67	100038522
68	100038525
69	100038528
70	100038538
71	100038545
72	100038554
73	100038555
74	100038556
75	100038560
76	100038566
77	100038571
78	100038574
79	100038575
80	100038577
81	100038582
82	100038584
83	100038591
84	100038595
85	100038599
86	100038600
87	100038601
88	100038602
89	100038607
90	100038608
91	100038610
92	100038614
93	100038617
94	100038618
95	100038623
96	100038627
97	100038628
98	100038636
99	100038638
100	100038653
101	100038654
102	100038659
103	100038666
104	100038671
105	100038689
106	100038690
107	100038693
108	100038699
109	100038700
110	100038706
111	100038708
112	100038709
113	100038712
114	100038713
115	100038714
116	100038718
117	100038725
118	100038726
119	100038728
120	100038732
121	100038734
122	100038735
123	100038743
124	100038746
125	100038752
126	100038761
127	100038847
128	100038862
129	100038882
130	100038912
131	100038927
132	100038941
133	100038948
134	100038949
135	100038967
136	100038971
137	100038977
138	100038982
139	100038987
140	100038995
141	100038997
142	100038999
143	100039008
144	100039010
145	100039014
146	100039019
147	100039027
148	100039028
149	100039029
150	100039030
151	100039032
152	100039034
153	100039043
154	100039045
155	100039054
156	100039055
157	100039062
158	100039063
159	100039065
160	100039078
161	100039086
162	100039087
163	100039089
164	100039116
165	100039120
166	100039123
167	100039138
168	100039139
169	100039148
170	100039150
171	100039176
172	100039177
173	100039182
174	100039184
175	100039186
176	100039206
177	100039210
178	100039222
179	100039240
180	100039252
181	100039269
182	100039284
183	100039324
184	100039331
185	100039332
186	100039348
187	100039377
188	100039422
189	100039432
190	100039436
191	100039440
192	100039441
193	100039446
194	100039452
195	100039467
196	100039479
197	100039495
198	100039499
199	100039542
200	100039545
201	100039548
202	100039550
203	100039551
204	100039574
205	100039585
206	100039595
207	100039596
208	100039614
209	100039636
210	100039641
211	100039672
212	100039674
213	100039684
214	100039691
215	100039706
216	100039707
217	100039727
218	100039731
219	100039736
220	100039739
221	100039753
222	100039763
223	100039781
224	100039786
225	100039789
226	100039794
227	100039795
228	100039796
229	100039801
230	100039805
231	100039810
232	100039815
233	100039830
234	100039837
235	100039863
236	100039864
237	100039890
238	100039895
239	100039901
240	100039904
241	100039905
242	100039911
243	100039913
244	100039934
245	100039948
246	100039953
247	100039954
248	100039957
249	100039964
250	100039992
251	100040016
252	100040020
253	100040022
254	100040030
255	100040031
256	100040035
257	100040048
258	100040052
259	100040160
260	100040171
261	100040187
262	100040201
263	100040208
264	100040213
265	100040214
266	100040223
267	100040233
268	100040248
269	100040262
270	100040276
271	100040294
272	100040299
273	100040322
274	100040328
275	100040335
276	100040339
277	100040357
278	100040363
279	100040410
280	100040416
281	100040421
282	100040429
283	100040447
284	100040462
285	100040493
286	100040500
287	100040507
288	100040509
289	100040525
290	100040529
291	100040531
292	100040545
293	100040552
294	100040557
295	100040563
296	100040567
297	100040572
298	100040585
299	100040591
300	100040608
301	100040632
302	100040635
303	100040657
304	100040671
305	100040697
306	100040710
307	100040712
308	100040714
309	100040724
310	100040736
311	100040766
312	100040769
313	100040771
314	100040786
315	100040792
316	100040807
317	100040822
318	100040843
319	100040846
320	100040851
321	100040852
322	100040854
323	100040861
324	100040867
325	100040870
326	100040880
327	100040882
328	100040894
329	100040899
330	100040902
331	100040911
332	100040923
333	100040926
334	100040929
335	100040935
336	100040937
337	100040944
338	100040961
339	100040970
340	100040972
341	100040999
342	100041012
343	100041014
344	100041033
345	100041034
346	100041054
347	100041057
348	100041062
349	100041076
350	100041077
351	100041089
352	100041096
353	100041099
354	100041106
355	100041108
356	100041139
357	100041151
358	100041177
359	100041179
360	100041186
361	100041194
362	100041223
363	100041224
364	100041231
365	100041244
366	100041250
367	100041253
368	100041256
369	100041261
370	100041262
371	100041279
372	100041281
373	100041283
374	100041284
375	100041286
376	100041289
377	100041290
378	100041294
379	100041306
380	100041311
381	100041336
382	100041339
383	100041345
384	100041346
385	100041351
386	100041352
387	100041354
388	100041362
389	100041375
390	100041412
391	100041420
392	100041426
393	100041449
394	100041450
395	100041479
396	100041488
397	100041490
398	100041505
399	100041515
400	100041530
401	100041546
402	100041548
403	100041550
404	100041554
405	100041562
406	100041566
407	100041574
408	100041576
409	100041578
410	100041579
411	100041581
412	100041585
413	100041594
414	100041598
415	100041605
416	100041618
417	100041621
418	100041631
419	100041642
420	100041655
421	100041658
422	100041660
423	100041678
424	100041687
425	100041688
426	100041694
427	100041697
428	100041702
429	100041708
430	100041712
431	100041722
432	100041724
433	100041734
434	100041735
435	100041739
436	100041749
437	100041774
438	100041781
439	100041805
440	100041806
441	100041811
442	100041840
443	100041874
444	100041877
445	100041879
446	100041890
447	100041895
448	100041903
449	100041925
450	100041951
451	100041952
452	100041953
453	100041964
454	100041965
455	100041968
456	100041979
457	100042008
458	100042013
459	100042024
460	100042025
461	100042049
462	100042054
463	100042055
464	100042056
465	100042057
466	100042065
467	100042074
468	100042079
469	100042100
470	100042109
471	100042110
472	100042129
473	100042130
474	100042132
475	100042143
476	100042144
477	100042149
478	100042150
479	100042166
480	100042173
481	100042175
482	100042182
483	100042194
484	100042198
485	100042201
486	100042202
487	100042218
488	100042226
489	100042235
490	100042237
491	100042267
492	100042268
493	100042277
494	100042279
495	100042291
496	100042294
497	100042295
498	100042304
499	100042335
500	100042337
501	100042342
502	100042355
503	100042415
504	100042417
505	100042428
506	100042437
507	100042450
508	100042465
509	100042475
510	100042480
511	100042484
512	100042493
513	100042498
514	100042499
515	100042514
516	100042519
517	100042533
518	100042539
519	100042548
520	100042554
521	100042555
522	100042565
523	100042577
524	100042578
525	100042584
526	100042591
527	100042594
528	100042603
529	100042605
530	100042636
531	100042639
532	100042648
533	100042653
534	100042663
535	100042669
536	100042678
537	100042679
538	100042698
539	100042715
540	100042757
541	100042781
542	100042782
543	100042784
544	100042794
545	100042802
546	100042807
547	100042810
548	100042814
549	100042827
550	100042848
551	100042849
552	100042855
553	100042874
554	100042875
555	100042880
556	100042881
557	100042889
558	100042891
559	100042894
560	100042918
561	100042921
562	100042926
563	100042940
564	100042948
565	100042951
566	100042960
567	100042966
568	100042968
569	100042971
570	100042982
571	100042988
572	100042996
573	100043002
574	100043013
575	100043016
576	100043029
577	100043033
578	100043034
579	100043039
580	100043040
581	100043051
582	100043057
583	100043058
584	100043065
585	100043067
586	100043070
587	100043072
588	100043074
589	100043088
590	100043089
591	100043092
592	100043101
593	100043102
594	100043103
595	100043108
596	100043123
597	100043125
598	100043132
599	100043133
600	100043143
601	100043147
602	100043150
603	100043169
604	100043172
605	100043176
606	100043180
607	100043189
608	100043194
609	100043207
610	100043213
611	100043216
612	100043224
613	100043227
614	100043229
615	100043231
616	100043232
617	100043235
618	100043239
619	100043245
620	100043247
621	100043251
622	100043254
623	100043255
624	100043272
625	100043277
626	100043292
627	100043300
628	100043305
629	100043309
630	100043314
631	100043315
632	100043324
633	100043326
634	100043332
635	100043335
636	100043348
637	100043381
638	100043387
639	100043403
640	100043407
641	100043416
642	100043434
643	100043450
644	100043462
645	100043467
646	100043468
647	100043488
648	100043489
649	100043497
650	100043513
651	100043515
652	100043536
653	100043566
654	100043569
655	100043580
656	100043582
657	100043595
658	100043596
659	100043597
660	100043600
661	100043604
662	100043606
663	100043609
664	100043614
665	100043617
666	100043627
667	100043629
668	100043636
669	100043638
670	100043644
671	100043645
672	100043665
673	100043667
674	100043682
675	100043684
676	100043686
677	100043688
678	100043706
679	100043711
680	100043721
681	100043726
682	100043729
683	100043757
684	100043765
685	100043766
686	100043767
687	100043772
688	100043793
689	100043812
690	100043813
691	100043817
692	100043820
693	100043827
694	100043831
695	100043836
696	100043842
697	100043856
698	100043860
699	100043861
700	100043868
701	100043876
702	100043885
703	100043899
704	100043902
705	100043904
706	100043910
707	100043911
708	100043914
709	100043915
710	100043920
711	100043946
712	100044193
713	100044509
714	100044526
715	100045066
716	100045125
717	100045469
718	100045653
719	100045778
720	100045792
721	100046078
722	100046950
723	100047123
724	100047133
725	100048534
726	100048644
727	100048658
728	100048701
729	100048884
730	100048895
731	100048985
732	100049161
733	100049166
734	100049545
735	100049546
736	100049547
737	100049548
738	100049549
739	100049710
740	100049711
741	100049712
742	100049713
743	100049714
744	100049715
745	100061
746	100066
747	100072
748	100073351
749	100087
750	100088
751	100090
752	100093700
753	100101457
754	100101806
755	100101919
756	100102
757	100113364
758	100113398
759	100121
760	100124431
761	100124432
762	100124433
763	100124435
764	100124437
765	100124438
766	100124439
