	names(gene_matrix)
1	59014
2	170755
3	213109
4	19243
5	13518
6	17082
7	56363
8	98488
9	67876
10	15510
11	57750
12	17756
13	74104
14	98363
15	94284
16	21367
17	11539
18	77552
19	27280
20	19225
21	108989
22	66875
23	98685
24	14645
25	20652
26	12301
27	55990
28	14131
29	98365
30	105244012
31	109232
32	11910
33	23924
34	353258
35	237339
36	52665
37	171580
38	19072
39	14609
40	18451
41	107449
42	216028
43	71371
44	11735
45	70911
46	110816
47	216134
48	19205
49	12696
50	18717
51	237436
52	17311
53	70574
54	102639520
55	108037
56	74522
57	14030
58	216549
59	12464
60	268390
61	15944
62	22210
63	16362
64	20185
65	68964
66	23879
67	24070
68	11484
69	237860
70	18377
71	22680
72	20306
73	217011
74	56427
75	72324
76	21973
77	217194
78	12799
79	27419
80	105243530
81	67283
82	74136
83	217353
84	71562
85	66838
86	104318
87	80913
88	27362
89	72183
90	328110
91	73834
92	211945
93	12192
94	20384
95	171210
96	74316
97	68737
98	217737
99	66308
100	105298
101	66222
102	12522
103	72562
104	15387
105	77117
106	77166
107	72948
108	105171
109	13612
110	17755
111	268697
112	17079
113	73274
114	56215
115	67272
116	50934
117	68966
118	67842
119	219144
120	16648
121	56471
122	268759
123	213469
124	108811
125	211712
126	105439
127	13618
128	78757
129	71175
130	22763
131	12465
132	114128
133	105976
134	18606
135	19245
136	17972
137	20665
138	223722
139	16564
140	22379
141	22142
142	70152
143	239706
144	52502
145	26425
146	224014
147	68606
148	72190
149	75826
150	20462
151	104156
152	13682
153	11815
154	22247
155	12892
156	106338
157	68942
158	17968
159	12469
160	68262
161	21454
162	68977
163	66978
164	23853
165	20383
166	108121
167	54194
168	76936
169	17441
170	94185
171	224794
172	71702
173	15516
174	224840
175	98053
176	22153
177	21950
178	13823
179	74196
180	225027
181	225160
182	77805
183	67869
184	67393
185	12475
186	107045
187	73137
188	21413
189	225745
190	20867
191	53319
192	225898
193	225908
194	65221
195	107272
196	67072
197	77125
198	102634793
199	226115
200	56454
201	13006
202	53611
203	12982
204	227541
205	98828
206	17533
207	83768
208	11305
209	19215
210	20933
211	68379
212	14828
213	227753
214	24136
215	433424
216	21930
217	77767
218	21353
219	50915
220	228005
221	228026
222	100503849
223	66935
224	69482
225	241520
226	77038
227	20394
228	72136
229	329504
230	67532
231	67092
232	17153
233	16175
234	19122
235	81910
236	27054
237	241727
238	24105
239	12048
240	170791
241	21969
242	52840
243	12349
244	18417
245	58869
246	14359
247	13175
248	17035
249	30953
250	66949
251	67738
252	14658
253	50754
254	73940
255	229521
256	11490
257	53970
258	23831
259	67220
260	236539
261	12373
262	70747
263	329727
264	433638
265	99712
266	68312
267	76123
268	66921
269	69740
270	22239
271	108058
272	211550
273	26377
274	72098
275	15502
276	230157
277	14745
278	22234
279	19266
280	76376
281	15977
282	78611
283	14664
284	19268
285	12986
286	67349
287	14191
288	16765
289	14105
290	16561
291	18707
292	70025
293	15208
294	105247228
295	320587
296	652925
297	20817
298	53312
299	14284
300	66278
301	66899
302	52822
303	11576
304	11745
305	117146
306	56455
307	207565
308	208606
309	22190
310	110006
311	23921
312	14693
313	80752
314	231842
315	15505
316	100637
317	14763
318	67861
319	78781
320	21391
321	101214
322	71720
323	210973
324	381785
325	232087
326	12386
327	17768
328	12468
329	21841
330	71699
331	16979
332	16438
333	192193
334	68089
335	232333
336	11689
337	29862
338	56620
339	15170
340	320678
341	14228
342	54343
343	654818
344	19698
345	11816
346	67379
347	68458
348	76686
349	11803
350	17136
351	68947
352	72287
353	272381
354	14204
355	17872
356	14085
357	53320
358	233489
359	667823
360	244198
361	244209
362	233752
363	101565
364	64297
365	16190
366	20887
367	233878
368	233877
369	244219
370	233908
371	207425
372	56213
373	12577
374	12443
375	66959
376	20288
377	20284
378	72902
379	211228
380	76900
381	234407
382	19651
383	64209
384	67801
385	57813
386	67971
387	74334
388	102339
389	234734
390	338521
391	53325
392	14802
393	66917
394	68682
395	68743
396	11804
397	235180
398	72927
399	72828
400	15481
401	17967
402	12955
403	102657
404	102595
405	50772
406	50876
407	83603
408	102502
409	114713
410	107993
411	22041
412	102626
413	74840
414	83486
415	66257
416	29873
417	83493
418	19652
419	74131
420	236792
421	171207
422	56292
423	245474
424	546336
425	94275
426	14618
427	18823
428	14605
429	18481
430	24061
431	110380
432	20229
